0,1,2,3,4,5,model/hub/LLM-Research/Llama-3___2-1B_correct,model/hub/LLM-Research/Llama-3___2-1B_choiceA_probs,model/hub/LLM-Research/Llama-3___2-1B_choiceB_probs,model/hub/LLM-Research/Llama-3___2-1B_choiceC_probs,model/hub/LLM-Research/Llama-3___2-1B_choiceD_probs,model/hub/LLM-Research/Llama-3___2-1B_choiceI don't know_probs
Which one of the following groups is excluded from the caste system of Hinduism?,Scholar-priests,Warrior-landowners,Businessmen and farmers,Untouchables,D,False,0.62169784,0.2323115,0.09836688,0.03143994,0.016183896
Which of the following is a push factor?,Dissatisfaction with current jobs,Higher-paying jobs elsewhere,An attractive retirement community elsewhere,A pleasant climate,A,False,0.32537538,0.16618548,0.16880251,0.33309144,0.0065451837
"The Basques, Bretons, Kashmiris, and Tamils are all examples of",regionalist groups.,separatist groups.,terrorist groups.,interventionist groups.,B,False,0.11940812,0.2628569,0.23933393,0.36780292,0.010598074
Which of the following factors does NOT play a role in gender relationships in a culture or society?,Biology,Advancements in technological development,Religion,Custom,A,True,0.51210713,0.074937835,0.094730295,0.3130448,0.00517989
The intensive agricultural practice of planting and harvesting the same crop more than once a year is called,swidden.,double cropping.,pastorialism.,intertillage.,B,False,0.14663851,0.29391274,0.22889948,0.32533175,0.0052175764
"When a new fashion design is introduced globally, the information initially travels through a process known as",contagious diffusion,relocation diffusion,innovative diffusion,hierarchical diffusion,D,True,0.31252348,0.06250863,0.1442059,0.4765414,0.0042206626
Opponents of genetically modified organisms (GMOs) in food are afraid that the GMOs,will hinder global trade.,make plants more resistant to disease.,may cause irreversible changes in humans.,make plants more resistant to drought.,C,False,0.14722408,0.29279006,0.21758309,0.3396424,0.0027604487
Which one of the following is NOT an advantage of urban agriculture?,Helping to solve the problem of solid waste disposal,Fresh produce for sale to others,Beautification of a dingy urban area,Renewed or purified water supplies,D,False,0.33248517,0.12718691,0.23211205,0.30510554,0.0031103035
Which of the following is NOT a problem Europe currently faces today?,Rising immigration,Lack of population growth,Environmental apathy,Urban ethnic ghettos on the rise,C,False,0.48739177,0.17930141,0.19387105,0.13117972,0.008256025
The world systems theory divides the world into,"core, periphery, and semi-periphery.",rich and poor.,developed and undeveloped.,haves and have-nots.,A,False,0.15346274,0.2610489,0.22680323,0.3512797,0.0074053877
The majority of Kurds are found in which country?,Iran,Iraq,Turkey,Egypt,C,False,0.23272873,0.11254027,0.19751433,0.45566076,0.0015559108
In what country are the most Basque speakers found?,Denmark,Finland,Luxembourg,Spain,D,True,0.14611775,0.12894846,0.18909042,0.5344765,0.0013668896
The most rapidly urbanizing area of the world is:,Europe,East Asia,Sub-Saharan Africa,South Asia,C,False,0.44738364,0.035041794,0.13121721,0.3856688,0.00068856473
The influence of neo-Malthusianism can be seen in,government programs for birth control and planning.,famine relief.,increased spending in social welfare programs.,increased total fertility rates.,A,False,0.13154499,0.26572818,0.22728935,0.37182057,0.0036168334
The process of devolution involves,the change of government from a democracy to a communist dictatorship.,the movement of power from the central government to regional governments in the country.,the movement of power from a monarchy to a military dictatorship.,the movement of power from regional governments to central governments.,B,False,0.10488343,0.24964428,0.2237797,0.4180755,0.0036170618
The theory that cities grow outward from a core utilizing several nodes of growth was proposed by,Rostow.,Ravenstein.,von Thünen.,Harris and Ullmann.,D,True,0.14964339,0.20294653,0.2428952,0.39735004,0.007164889
The theory that the main purpose of a settlement or market town is to furnish goods and services to the surrounding market area is called the,urban hierarchy theory.,central place theory.,concentric zone model.,multiplier effect.,B,True,0.15853745,0.3252977,0.22010744,0.29159498,0.0044623623
Which one of the following statements does NOT correctly describe transnational companies (TNCs)?,"Many TNCs operate in areas of electronics, chemicals, pharmaceuticals and petroleum.",Most TNCs produce and sell manufactured goods.,"Most TNCs are headquartered in the United States, Japan, and the European Union.",TNCs are generally controlled by foreign governments.,D,True,0.13170075,0.19312637,0.29219088,0.38108873,0.0018933443
"The ""melting pot"" theory of combining several immigrant groups into one mainstream culture is called",amalgamation theory.,acculturation.,ethnic islands.,ethnic clustering.,A,False,0.14201097,0.2913876,0.22516687,0.33801553,0.0034189783
Which theory below was used as justification for US involvement in Vietnam in the 1960s and 1970s?,Devolution,Colonialism,Heartland theory,Containment theory,D,True,0.3788211,0.055868547,0.09959645,0.4641413,0.0015725351
Urban agriculture can benefit urban society in all of the following ways EXCEPT,create sustainable food systems in urban areas.,provide jobs for women and children.,turn urban waste into a resource when utilized in safe manner.,replace agribusiness as the main focus of global food production.,D,True,0.14446396,0.24574146,0.22028123,0.383597,0.005916337
Which one of the following organizations is NOT a supranational organization?,UN,NATO,ASEAN,PLO,D,False,0.41918182,0.15420838,0.3316001,0.09500502,4.6455225e-06
Which one of the following demographic factors characterizes stages 4 and 5 in the demographic transition model?,Zero population growth,High mortality rates,High birth rates,High sex ratios,A,True,0.43636295,0.14389722,0.2077399,0.21101134,0.0009886951
Which of the following statements does NOT describe a factor that contributed to suburbanization in the United States?,A shorter workweek made time for a commute possible.,Changes in the housing mortgage regulations made home ownership easier.,Fixed-route public transit routes increased in importance.,Improved automobiles made transportation easier and less limited.,C,False,0.13947378,0.19063805,0.22462653,0.43297896,0.012282668
An isobar map shows lines connecting all points of equal,atmospheric pressure,surface temperature,elevation,precipitation,A,True,0.78239393,0.091279015,0.059396386,0.06678115,0.00014954744
Ralph purchases garden fertilizer at the nearby garden shop rather than drive 50 miles to the neighboring town for the same product. This reflects which type of spatial interaction?,Transferability,Complementarity,Intervening opportunity,Territoriality,C,False,0.32176656,0.06335959,0.07068273,0.54308385,0.0011073295
What type of countries generally possesses a greater variety of climates and resources than other countries?,Perforated states,Fragmented states,Elongated states,Prorupt states,C,False,0.2549216,0.10299762,0.07134437,0.5655682,0.005168169
Which of the following factors has little or no impact on mortality rates in the developing countries?,New medicines,Improved birth control methods,Pesticides,Famine relief,B,False,0.5036262,0.065547295,0.17957346,0.23604487,0.015208195
"The idea that you identify with, and give allegiance, to a nation-state is",regionalism.,diffusion.,iconography.,nationalism.,D,False,0.13126035,0.3148772,0.25901094,0.28894758,0.005903942
What condition occurs when the people of one state want to annex a territory whose population is ethnically related to that state's population but now under the rule of another state?,Nationalism,Resource dispute,Irredentism,Positional dispute,C,False,0.20224859,0.030297345,0.17571661,0.5898157,0.0019217718
"Variations in vocabulary, pronunciation, and rhythm in a spoken language are called",syntax.,isoglosses.,lingua francas.,dialects.,D,True,0.1430147,0.27566805,0.23213577,0.3457652,0.0034163492
Boundary problems along the United States–Mexico border are caused by which type of issue below?,Ownership of fertile ground,Land use,Irredentism,Immigration,D,True,0.16278829,0.18591006,0.24629079,0.40290487,0.002106008
In which country does language pose a centrifugal force?,Canada,United States,Brazil,Norway,A,False,0.21265659,0.11836122,0.18475924,0.48298767,0.0012352102
Quebec is a strong example of which of the following situations?,Irredentism,Secession,Ethnonationalism,A colony,C,False,0.47425702,0.18000767,0.12665121,0.21713068,0.0019533813
Which of the following items below is NOT considered a barrier to the diffusion of an innovation?,Internet,Distance,Cultural obstacles,Government interference,A,True,0.4929639,0.095565416,0.1885755,0.22219625,0.0006989628
Change in any culture is introduced through all the following processes EXCEPT,innovation.,diffusion.,acculturation.,gravity.,D,False,0.13623132,0.28840172,0.28393045,0.2817209,0.0097155655
Which of the following statements regarding historical North American migration streams is NOT correct?,Canada's first major migration came from France.,Canada's second major migration stream originated in the British Isles.,Canada's third major migration stream came from Latin America.,The first major migration wave to the United States originated in Europe.,C,False,0.122712925,0.124645375,0.2222044,0.5288925,0.0015447278
A chief factor that contributed to the Second Agricultural Revolution was,the Industrial Revolution.,World War I.,World War II.,the discovery of the plow.,A,False,0.13071631,0.26821247,0.25593013,0.34171155,0.003429466
Zero population growth (ZPG) is achieved when,CBR – CDR 5 2.,Births 1 immigration 5 deaths 1 emigration.,Total fertility 5 3.,Replacement fertility is achieved.,B,False,0.12563573,0.15513942,0.24028462,0.47414428,0.004795901
In which of the following Asian countries would one find special economic zones (SEZs)?,Japan,South Korea,China,Vietnam,C,False,0.45924407,0.09854559,0.14909472,0.29191327,0.0012023395
Which of the following industries does NOT need to be close to its markets?,Dairy foods,Bulk-gaining products,Single-market products,Bulk-reducing products,D,True,0.1467909,0.1152175,0.07796006,0.6578712,0.002160326
Which of the following is NOT a characteristic of a city in the developing world?,Contains modern centers of commerce,Has a well-developed infrastructure,Experiences large in-migrations of rural people into the city,Produces a large share of its country's GDI,B,False,0.37631774,0.2796556,0.10449966,0.2392021,0.00032489485
A map that presents a single class of statistics is called a,general purpose map.,thematic map.,reference map.,mental map.,B,True,0.15087533,0.329542,0.21611893,0.30005142,0.0034123166
The construction of freeways leads to all but which of the following results?,Urban sprawl,Traffic increase,Traffic congestion,Decreased dependency on cars,D,False,0.55113983,0.1919627,0.21582945,0.039613742,0.0014542475
Which continent has the highest total fertility rates?,Africa,Asia,South America,Europe,A,True,0.8463512,0.052032676,0.043136604,0.058046646,0.0004329251
What monotheistic religion is based on the life and teachings of Jesus Christ of Nazareth?,Islam,Christianity,Hinduism,Buddhism,B,False,0.50960755,0.05541725,0.05762482,0.37283686,0.004513525
Which of the following statements is true concerning folklore?,It is the written tradition of a group.,It encourages changing the old values and customs.,It serves to blend all cultures into one.,It expresses in words the shared values of a group by expressing their ideals.,D,True,0.09473434,0.18548083,0.25953436,0.45549697,0.0047535375
The irregularity of the wet monsoon in South Asia in recent years may have a significant negative effect on which of the following?,Food production,Population patterns,Wildlife conservation efforts,Tourism,A,False,0.24002697,0.27626935,0.34923717,0.12948483,0.0049816007
"According to Alfred Weber's least-cost theory, which one of the following costs of production is the most important factor in locating an industry?",Labor,Transport,Raw materials,Agglomeration costs,B,False,0.40993974,0.23911574,0.21602307,0.12600513,0.008916337
The climate of Great Britain is milder than most other places along the same latitude for which of the following reasons?,"The Gulf Stream brings warm waters to Great Britain, raising the temperature of winds that blow onto the island.",Hot springs throughout the country raise the temperature of the surrounding land and air.,Mountain ranges in the north of Great Britain act as a barrier to cold winds blowing from the Arctic.,Small landmasses generate their own local climate and are largely unaffected by latitude.,A,False,0.050880913,0.0973123,0.13723233,0.7134504,0.0011241059
Which of the following supranational organizations is not an economic union?,EU,CARICOM,NAFTA,NATO,D,False,0.6175726,0.20686091,0.10320673,0.072049916,0.00030979034
The global lingua franca is,Chinese.,English.,French.,Arabic.,B,False,0.14971775,0.25667593,0.2546785,0.32957843,0.009349421
What are the two major branches of Islam?,Sunni and Shinto,Shinto and Shiite,Sunni and Shiite,Shamanism and Shiite,C,False,0.54409885,0.27146098,0.13126996,0.047172848,0.005997354
What was the primary reason the Green Revolution did NOT help Africa much?,It targeted crops Africans don't grow and eat.,It required sophisticated machinery.,Population growth has fallen so drastically that Africans don't need the increased food production.,African agricultural production went up without its help.,A,False,0.14123374,0.13688843,0.17853616,0.54140425,0.0019374132
The largest exporter of agricultural goods in the world is,China.,Mexico.,Chile.,the United States.,D,True,0.16141759,0.2661326,0.26406154,0.30156773,0.006820496
Which of the following statements is NOT part of Gunnar Myrdal's theory of cumulative causation?,Developing and developed regions share similarly in wealth through trade.,The core will always dominate the periphery.,Growth and prosperity of the core exists at the expense of the periphery.,"Regions with initial advantage keep and expand it as they attract labor, capital, and trade.",A,False,0.0907715,0.11746704,0.20616107,0.58272785,0.0028726077
Which pair of religions below share a long-held tradition of cremating their dead?,Hindu and Buddhist,Hindu and Muslim,Muslim and Jewish,Christian and Buddhist,A,True,0.56911755,0.14846319,0.16955027,0.11119379,0.0016752493
"The official languages of Guyana, Suriname, and French Guiana are English, Dutch, and French, respectively. On what continent are those countries located?",North America,South America,Africa,Asia,B,False,0.6528148,0.08235021,0.12556908,0.1389923,0.00027361035
